Bike_Type,Age,Gender,Occupation,Distance_Travelled(km),Weather,Day_of_Week,Time_of_Day,Temperature(C),Humidity(%),Is_Holiday,Is_Weekend,Purpose_of_Ride,Satisfaction_Level(of 5),Helmet_Used,Traffic_Intensity(of 10),Road_Condition,User_Experience
hill,55,Female,Professional,0.44,cloudy,Saturday,afternoon,23.1,59,TRUE,TRUE,Exercise,5,FALSE,2,Good,Neutral
normal,39,Other,Professional,2.01,cloudy,Monday,night,24.2,67,TRUE,FALSE,Commute,2,TRUE,4,Good,Neutral
normal,62,Other,Student,3.86,cloudy,Monday,evening,30.6,45,TRUE,TRUE,Errands,2,TRUE,7,Poor,Positive
normal,61,Male,Student,3,cloudy,Monday,afternoon,25.1,31,FALSE,FALSE,Errands,5,FALSE,4,Good,Neutral
normal,27,Other,Student,4.57,cloudy,Friday,night,24.5,70,FALSE,FALSE,Leisure,1,TRUE,7,Fair,Neutral
bmx,27,Other,Professional,1.03,rainy,Monday,afternoon,18.1,72,FALSE,FALSE,Errands,3,TRUE,3,Fair,Neutral
normal,18,Male,Professional,1.82,rainy,Thursday,evening,13.6,62,FALSE,TRUE,Leisure,3,TRUE,10,Good,Positive
hill,29,Other,Unemployed,2.19,cloudy,Monday,afternoon,11.8,90,TRUE,FALSE,Commute,3,TRUE,2,Poor,Positive
bmx,23,Female,Retired,3.87,rainy,Monday,evening,32.1,43,TRUE,FALSE,Leisure,2,TRUE,5,Fair,Neutral
normal,67,Other,Student,0.16,rainy,Friday,morning,18.5,78,TRUE,FALSE,Commute,2,TRUE,6,Fair,Positive
normal,66,Female,Unemployed,4.11,rainy,Wednesday,morning,33.3,45,TRUE,TRUE,Commute,4,TRUE,5,Poor,Negative
bmx,57,Other,Student,0.55,cloudy,Sunday,morning,22.8,78,FALSE,TRUE,Leisure,3,FALSE,2,Poor,Positive
normal,50,Female,Professional,1.16,rainy,Tuesday,evening,23.6,50,TRUE,FALSE,Errands,1,FALSE,9,Good,Negative
normal,51,Male,Professional,0.06,sunny,Sunday,night,22.9,44,FALSE,FALSE,Exercise,1,FALSE,4,Good,Neutral
hill,34,Female,Retired,3.42,cloudy,Saturday,evening,17,36,FALSE,FALSE,Exercise,1,TRUE,5,Fair,Negative
hill,69,Male,Professional,4.46,cloudy,Thursday,evening,25.7,75,FALSE,TRUE,Exercise,4,FALSE,6,Poor,Positive
bmx,38,Female,Professional,0.8,sunny,Thursday,afternoon,14.9,56,TRUE,TRUE,Exercise,4,FALSE,2,Poor,Neutral
hill,26,Female,Student,1.48,rainy,Wednesday,evening,15.9,64,TRUE,TRUE,Exercise,4,TRUE,10,Good,Positive
normal,68,Male,Retired,3.82,rainy,Monday,afternoon,32.2,89,FALSE,FALSE,Exercise,1,TRUE,5,Good,Negative
bmx,54,Female,Unemployed,0.81,cloudy,Wednesday,morning,31,54,FALSE,TRUE,Commute,1,FALSE,5,Poor,Positive
bmx,33,Male,Unemployed,3.36,rainy,Thursday,afternoon,29.9,64,FALSE,TRUE,Errands,4,FALSE,8,Poor,Negative
hill,40,Other,Professional,2.89,cloudy,Friday,night,21.5,80,FALSE,FALSE,Errands,1,TRUE,4,Good,Positive
hill,67,Male,Retired,4.95,cloudy,Saturday,morning,17,63,TRUE,TRUE,Leisure,5,FALSE,8,Poor,Negative
bmx,34,Male,Professional,4.16,sunny,Wednesday,night,29.8,33,FALSE,FALSE,Leisure,5,TRUE,9,Good,Negative
normal,31,Other,Student,3.5,rainy,Tuesday,morning,26.7,37,FALSE,FALSE,Exercise,4,FALSE,8,Poor,Negative
bmx,24,Other,Unemployed,0.03,cloudy,Tuesday,afternoon,20.1,62,FALSE,TRUE,Commute,3,FALSE,6,Poor,Positive
normal,21,Other,Unemployed,1.02,sunny,Monday,afternoon,21.7,39,TRUE,FALSE,Commute,3,FALSE,9,Good,Negative
hill,44,Male,Retired,1.88,sunny,Sunday,night,13.4,55,TRUE,TRUE,Commute,3,TRUE,3,Poor,Neutral
bmx,53,Male,Unemployed,0.88,sunny,Friday,afternoon,32,31,FALSE,TRUE,Commute,4,TRUE,2,Poor,Positive
bmx,42,Female,Student,3.08,cloudy,Tuesday,evening,16.6,70,TRUE,TRUE,Exercise,1,TRUE,5,Poor,Positive
normal,45,Other,Student,3.07,sunny,Wednesday,afternoon,28.2,85,FALSE,TRUE,Exercise,2,FALSE,5,Poor,Positive
hill,30,Other,Unemployed,1.24,cloudy,Thursday,morning,33.5,73,FALSE,TRUE,Exercise,2,FALSE,1,Poor,Neutral
hill,67,Other,Unemployed,1.17,sunny,Wednesday,afternoon,21.7,34,TRUE,FALSE,Errands,1,TRUE,9,Good,Neutral
bmx,57,Female,Retired,4.05,sunny,Tuesday,morning,34.5,76,TRUE,TRUE,Commute,1,TRUE,8,Good,Neutral
bmx,48,Female,Student,0.39,rainy,Tuesday,morning,25.3,72,TRUE,TRUE,Leisure,4,TRUE,2,Good,Neutral
normal,23,Male,Professional,1.79,cloudy,Thursday,afternoon,31.7,84,FALSE,TRUE,Commute,4,TRUE,3,Poor,Neutral
normal,33,Male,Student,1.17,rainy,Friday,afternoon,28.9,51,FALSE,TRUE,Exercise,3,FALSE,10,Good,Neutral
normal,37,Male,Unemployed,0.11,cloudy,Saturday,evening,15.2,44,TRUE,TRUE,Leisure,4,FALSE,1,Fair,Negative
normal,56,Female,Unemployed,0.23,rainy,Friday,morning,23,68,TRUE,TRUE,Exercise,1,TRUE,10,Good,Negative
normal,55,Male,Unemployed,3.92,cloudy,Tuesday,morning,23.1,84,FALSE,TRUE,Leisure,3,FALSE,3,Fair,Negative
bmx,31,Male,Professional,0.09,cloudy,Saturday,evening,29.1,30,TRUE,TRUE,Exercise,3,FALSE,5,Poor,Negative
hill,58,Male,Retired,3.11,cloudy,Saturday,night,18.5,78,FALSE,FALSE,Commute,1,TRUE,8,Good,Positive
normal,63,Male,Professional,3.49,rainy,Tuesday,afternoon,26.7,69,TRUE,FALSE,Exercise,4,TRUE,7,Good,Negative
hill,41,Male,Retired,0.83,rainy,Friday,morning,16.9,45,TRUE,FALSE,Errands,4,TRUE,1,Poor,Positive
normal,57,Other,Professional,2.81,rainy,Wednesday,morning,22.8,76,FALSE,TRUE,Commute,3,TRUE,7,Fair,Positive
bmx,51,Male,Professional,1.64,sunny,Friday,afternoon,26.5,54,FALSE,TRUE,Exercise,2,FALSE,5,Poor,Negative
hill,35,Other,Professional,2.82,sunny,Wednesday,evening,25.9,64,TRUE,TRUE,Errands,5,FALSE,2,Good,Positive
normal,45,Male,Unemployed,4.9,sunny,Tuesday,evening,31.7,90,FALSE,TRUE,Exercise,3,TRUE,1,Fair,Negative
bmx,31,Other,Unemployed,2.11,cloudy,Wednesday,evening,17.5,90,TRUE,FALSE,Exercise,1,FALSE,5,Poor,Negative
normal,33,Male,Unemployed,3.11,cloudy,Friday,evening,24.8,40,FALSE,TRUE,Exercise,2,TRUE,7,Good,Neutral
bmx,64,Female,Retired,0.44,rainy,Saturday,morning,33,62,FALSE,TRUE,Exercise,1,TRUE,4,Poor,Negative
hill,53,Female,Professional,0.4,rainy,Saturday,evening,13.9,43,TRUE,TRUE,Leisure,1,TRUE,1,Fair,Negative
normal,60,Other,Unemployed,0.57,sunny,Tuesday,night,30.9,75,TRUE,FALSE,Exercise,1,TRUE,3,Fair,Negative
hill,67,Female,Unemployed,3.01,sunny,Tuesday,morning,24.3,46,FALSE,TRUE,Leisure,4,TRUE,9,Good,Neutral
hill,58,Other,Professional,3.3,cloudy,Friday,afternoon,17.5,80,TRUE,FALSE,Leisure,1,FALSE,3,Fair,Positive
normal,29,Female,Student,4.94,rainy,Saturday,night,28.2,32,FALSE,FALSE,Leisure,4,FALSE,4,Poor,Negative
bmx,65,Male,Student,1.85,sunny,Wednesday,night,17.5,36,FALSE,TRUE,Leisure,5,FALSE,5,Poor,Neutral
hill,43,Male,Retired,0.41,cloudy,Sunday,night,30.9,51,TRUE,TRUE,Exercise,5,TRUE,8,Poor,Neutral
hill,28,Male,Retired,3.54,rainy,Sunday,evening,30,83,TRUE,FALSE,Exercise,1,FALSE,5,Fair,Neutral
normal,48,Female,Professional,0.9,cloudy,Monday,afternoon,18,45,TRUE,FALSE,Errands,2,TRUE,9,Fair,Negative
hill,57,Other,Unemployed,3.8,sunny,Friday,morning,23.2,30,TRUE,FALSE,Exercise,4,TRUE,7,Poor,Neutral
hill,56,Male,Unemployed,3.14,cloudy,Monday,afternoon,22.7,35,FALSE,FALSE,Leisure,3,TRUE,3,Good,Positive
normal,50,Female,Student,4.77,cloudy,Sunday,morning,16.3,35,FALSE,FALSE,Errands,3,FALSE,10,Fair,Negative
bmx,60,Male,Professional,3.55,sunny,Tuesday,evening,29,71,TRUE,TRUE,Leisure,4,TRUE,6,Good,Positive
bmx,60,Female,Student,0.56,cloudy,Wednesday,night,31.5,73,TRUE,FALSE,Exercise,2,TRUE,8,Fair,Negative
hill,65,Female,Retired,4.99,sunny,Tuesday,night,15.9,59,FALSE,FALSE,Errands,3,FALSE,10,Fair,Positive
normal,47,Female,Student,1.82,rainy,Friday,afternoon,24.6,38,FALSE,TRUE,Exercise,3,TRUE,6,Fair,Neutral
hill,28,Male,Unemployed,3.8,sunny,Friday,evening,32.1,48,TRUE,TRUE,Leisure,5,FALSE,5,Fair,Neutral
bmx,66,Other,Professional,1.42,sunny,Friday,morning,33.2,67,TRUE,FALSE,Exercise,4,FALSE,5,Poor,Positive
bmx,27,Female,Professional,2.42,cloudy,Monday,evening,30.1,82,TRUE,TRUE,Commute,1,FALSE,7,Good,Neutral
bmx,47,Other,Retired,0.31,sunny,Friday,afternoon,34.4,80,TRUE,FALSE,Leisure,5,TRUE,9,Fair,Neutral
hill,24,Other,Student,0.31,rainy,Monday,evening,27.9,85,FALSE,FALSE,Exercise,3,TRUE,9,Poor,Negative
normal,54,Male,Retired,1.74,rainy,Friday,night,25.1,36,TRUE,TRUE,Leisure,5,TRUE,3,Good,Positive
bmx,52,Other,Retired,0.42,cloudy,Saturday,morning,35,40,FALSE,FALSE,Commute,3,TRUE,8,Good,Positive
normal,34,Other,Student,2.9,cloudy,Monday,morning,21.5,44,FALSE,TRUE,Exercise,1,TRUE,2,Good,Positive
hill,59,Other,Student,4.75,cloudy,Monday,evening,11,83,TRUE,FALSE,Errands,2,TRUE,3,Good,Positive
normal,70,Male,Unemployed,3.77,rainy,Friday,morning,25,72,FALSE,TRUE,Leisure,2,TRUE,6,Poor,Positive
bmx,44,Female,Retired,2.22,rainy,Sunday,afternoon,28.1,83,FALSE,TRUE,Exercise,1,FALSE,4,Poor,Positive
hill,26,Other,Retired,0.64,cloudy,Sunday,night,32.4,33,FALSE,FALSE,Exercise,5,TRUE,5,Poor,Positive
bmx,36,Female,Unemployed,4.87,sunny,Wednesday,afternoon,10.1,80,FALSE,TRUE,Exercise,1,TRUE,3,Poor,Positive
bmx,70,Female,Professional,2.94,rainy,Tuesday,night,26.4,30,FALSE,FALSE,Commute,3,FALSE,10,Good,Neutral
hill,43,Female,Unemployed,4.45,rainy,Saturday,evening,15.8,79,FALSE,FALSE,Errands,1,FALSE,7,Good,Positive
bmx,26,Other,Student,2.88,cloudy,Monday,afternoon,12.1,47,TRUE,TRUE,Commute,2,FALSE,1,Good,Positive
normal,62,Male,Retired,2.71,cloudy,Monday,morning,28.3,33,FALSE,FALSE,Commute,2,FALSE,1,Good,Positive
normal,25,Male,Student,0.75,rainy,Thursday,afternoon,21.5,47,TRUE,FALSE,Exercise,5,FALSE,4,Poor,Positive
hill,29,Female,Unemployed,1.12,rainy,Saturday,morning,19.8,85,TRUE,FALSE,Exercise,1,TRUE,5,Fair,Positive
normal,40,Other,Unemployed,3.99,sunny,Monday,afternoon,33.1,76,TRUE,FALSE,Commute,1,TRUE,4,Fair,Negative
normal,27,Female,Retired,4.89,cloudy,Monday,night,18.2,70,TRUE,FALSE,Exercise,2,FALSE,1,Poor,Negative
bmx,42,Other,Professional,2.58,sunny,Tuesday,evening,32,41,TRUE,TRUE,Leisure,2,TRUE,3,Poor,Neutral
hill,29,Other,Professional,3.69,cloudy,Saturday,evening,11,58,FALSE,TRUE,Commute,4,TRUE,8,Fair,Positive
normal,45,Other,Professional,4.11,cloudy,Saturday,morning,13,76,FALSE,TRUE,Exercise,4,FALSE,4,Poor,Negative
hill,35,Female,Student,1.08,cloudy,Thursday,evening,24.4,37,TRUE,FALSE,Exercise,1,FALSE,9,Poor,Neutral
normal,29,Female,Retired,3.2,cloudy,Saturday,evening,22.9,84,FALSE,TRUE,Leisure,1,FALSE,7,Fair,Neutral
normal,22,Male,Unemployed,3.27,rainy,Thursday,evening,19.1,43,FALSE,TRUE,Errands,3,FALSE,5,Poor,Negative
hill,56,Male,Unemployed,3.11,rainy,Sunday,afternoon,18.5,88,FALSE,TRUE,Commute,4,FALSE,9,Good,Positive
hill,46,Other,Unemployed,0.46,sunny,Monday,evening,22.4,41,FALSE,TRUE,Leisure,2,TRUE,3,Fair,Neutral
hill,65,Other,Unemployed,3.33,rainy,Friday,morning,14.3,89,TRUE,TRUE,Exercise,2,TRUE,4,Good,Neutral
hill,41,Other,Retired,1.39,cloudy,Monday,evening,22.1,69,FALSE,TRUE,Exercise,5,FALSE,6,Poor,Positive
normal,67,Male,Retired,3.02,sunny,Thursday,night,34.9,87,FALSE,FALSE,Errands,3,FALSE,10,Poor,Positive
bmx,46,Female,Professional,1.7,sunny,Thursday,night,11.5,82,FALSE,FALSE,Errands,5,TRUE,4,Poor,Neutral
bmx,35,Male,Professional,3.1,cloudy,Friday,morning,32.1,43,FALSE,TRUE,Exercise,4,TRUE,7,Fair,Positive
hill,40,Female,Student,0.92,cloudy,Thursday,evening,11,46,TRUE,FALSE,Commute,2,FALSE,1,Poor,Positive
bmx,26,Other,Retired,3.11,cloudy,Friday,evening,30.7,87,TRUE,FALSE,Errands,1,FALSE,10,Good,Neutral
hill,66,Female,Professional,4.96,rainy,Monday,afternoon,19.4,56,FALSE,FALSE,Exercise,5,FALSE,4,Fair,Neutral
bmx,25,Female,Student,2.99,cloudy,Saturday,afternoon,23.3,81,FALSE,TRUE,Leisure,1,FALSE,3,Fair,Negative
hill,25,Male,Retired,0.08,cloudy,Monday,night,20.8,37,TRUE,FALSE,Errands,3,FALSE,9,Good,Positive
hill,68,Male,Unemployed,4.39,rainy,Saturday,evening,27.7,33,FALSE,FALSE,Exercise,3,TRUE,2,Poor,Neutral
bmx,67,Female,Professional,2.32,rainy,Tuesday,morning,26.1,37,TRUE,TRUE,Leisure,1,TRUE,1,Poor,Negative
normal,30,Other,Professional,0.38,sunny,Wednesday,evening,33,79,FALSE,FALSE,Commute,2,TRUE,9,Good,Positive
normal,53,Other,Retired,2.51,sunny,Saturday,evening,12.6,65,TRUE,TRUE,Exercise,5,TRUE,9,Poor,Positive
normal,45,Female,Student,2.79,sunny,Monday,morning,15.3,76,FALSE,TRUE,Leisure,4,FALSE,2,Poor,Negative
bmx,63,Female,Student,1.51,cloudy,Thursday,evening,30.9,48,TRUE,FALSE,Exercise,1,FALSE,5,Poor,Negative
hill,19,Other,Unemployed,2.42,cloudy,Sunday,night,19.9,55,TRUE,TRUE,Errands,2,TRUE,6,Poor,Positive
hill,38,Female,Professional,2.26,sunny,Sunday,morning,16.5,65,FALSE,FALSE,Exercise,4,TRUE,6,Poor,Positive
normal,33,Female,Unemployed,2.98,cloudy,Thursday,evening,13.6,75,FALSE,TRUE,Errands,3,TRUE,2,Good,Negative
bmx,41,Male,Unemployed,0.01,cloudy,Wednesday,evening,28.7,56,TRUE,TRUE,Errands,2,TRUE,10,Poor,Neutral
hill,44,Male,Retired,0.15,rainy,Monday,afternoon,29.4,31,FALSE,TRUE,Errands,5,FALSE,10,Poor,Positive
bmx,27,Male,Retired,0.45,rainy,Monday,morning,21,66,TRUE,TRUE,Exercise,3,FALSE,9,Poor,Positive
bmx,31,Female,Unemployed,0.04,rainy,Tuesday,afternoon,21.5,89,FALSE,TRUE,Commute,5,TRUE,10,Poor,Negative
normal,37,Male,Professional,3.66,rainy,Tuesday,night,29.1,39,TRUE,FALSE,Exercise,1,FALSE,3,Fair,Positive
normal,43,Male,Student,4.47,rainy,Tuesday,morning,28.8,43,FALSE,TRUE,Exercise,2,TRUE,4,Fair,Negative
hill,33,Female,Retired,4.68,rainy,Tuesday,evening,10.1,43,TRUE,TRUE,Leisure,2,TRUE,9,Good,Negative
normal,37,Other,Professional,4.95,rainy,Thursday,afternoon,29.8,74,TRUE,TRUE,Errands,1,FALSE,10,Poor,Positive
bmx,63,Female,Student,2.33,sunny,Saturday,evening,31.5,60,FALSE,FALSE,Commute,3,FALSE,6,Fair,Positive
hill,32,Female,Professional,0.43,sunny,Saturday,afternoon,17.6,48,TRUE,FALSE,Exercise,3,TRUE,1,Fair,Neutral
bmx,46,Male,Student,1.34,cloudy,Monday,morning,32.3,75,TRUE,TRUE,Errands,5,TRUE,3,Good,Positive
normal,36,Male,Professional,3.57,sunny,Sunday,night,29.7,88,TRUE,FALSE,Leisure,4,FALSE,8,Fair,Negative
normal,69,Other,Retired,1.32,cloudy,Wednesday,morning,23,40,FALSE,FALSE,Exercise,1,FALSE,2,Fair,Neutral
normal,29,Male,Professional,0.42,sunny,Friday,night,20.8,77,TRUE,FALSE,Commute,4,TRUE,3,Poor,Positive
bmx,21,Male,Professional,2.96,rainy,Friday,afternoon,22.6,48,TRUE,FALSE,Errands,5,FALSE,6,Fair,Neutral
hill,41,Female,Professional,0.32,cloudy,Thursday,morning,33.9,64,FALSE,FALSE,Commute,4,TRUE,1,Fair,Positive
bmx,44,Male,Unemployed,0.5,cloudy,Friday,afternoon,11.3,46,FALSE,FALSE,Leisure,1,FALSE,4,Fair,Neutral
hill,31,Other,Retired,4.19,rainy,Wednesday,evening,10.9,68,TRUE,TRUE,Errands,5,FALSE,3,Good,Neutral
bmx,22,Other,Unemployed,3.4,rainy,Wednesday,night,27.8,31,TRUE,FALSE,Leisure,4,FALSE,4,Fair,Positive
bmx,49,Female,Unemployed,3.95,sunny,Tuesday,morning,12.9,37,FALSE,FALSE,Errands,3,TRUE,9,Poor,Positive
bmx,59,Other,Unemployed,1.17,rainy,Sunday,morning,23.7,80,FALSE,FALSE,Commute,4,FALSE,7,Poor,Negative
normal,19,Male,Retired,1.1,rainy,Friday,afternoon,10.4,43,FALSE,FALSE,Exercise,4,FALSE,3,Good,Neutral
bmx,68,Female,Retired,3.44,sunny,Sunday,morning,31.3,76,FALSE,TRUE,Exercise,2,TRUE,4,Good,Negative
bmx,59,Male,Retired,1.25,sunny,Tuesday,morning,20,77,TRUE,TRUE,Leisure,5,FALSE,10,Good,Negative
bmx,32,Female,Professional,0.21,cloudy,Wednesday,evening,30.5,77,TRUE,FALSE,Leisure,5,TRUE,3,Poor,Neutral
bmx,40,Other,Unemployed,2.57,sunny,Sunday,morning,15.9,81,FALSE,TRUE,Exercise,1,FALSE,2,Fair,Positive
normal,46,Female,Retired,1.3,rainy,Monday,night,14.2,41,FALSE,TRUE,Leisure,5,FALSE,8,Fair,Negative
bmx,51,Female,Student,0.11,sunny,Friday,morning,20.2,58,TRUE,TRUE,Commute,3,TRUE,4,Poor,Negative
normal,37,Other,Retired,0.72,sunny,Sunday,night,30.2,38,TRUE,FALSE,Leisure,5,TRUE,10,Poor,Positive
hill,48,Other,Student,3.56,sunny,Sunday,afternoon,19.3,85,FALSE,TRUE,Errands,1,TRUE,9,Fair,Neutral
normal,38,Male,Student,3.24,rainy,Thursday,morning,22.7,69,TRUE,FALSE,Commute,4,TRUE,7,Fair,Negative
bmx,39,Female,Retired,1.8,sunny,Wednesday,evening,11.1,33,FALSE,FALSE,Errands,5,TRUE,5,Poor,Negative
hill,69,Female,Retired,2.54,sunny,Sunday,evening,15.8,58,FALSE,FALSE,Commute,5,FALSE,1,Fair,Negative
hill,65,Other,Unemployed,3.28,cloudy,Friday,night,29.8,73,TRUE,TRUE,Exercise,1,TRUE,9,Fair,Positive
normal,35,Other,Retired,3.49,rainy,Sunday,night,28.1,64,TRUE,FALSE,Commute,5,TRUE,5,Poor,Positive
normal,65,Female,Professional,1.66,cloudy,Thursday,evening,28.4,70,TRUE,FALSE,Leisure,1,TRUE,8,Good,Negative
bmx,27,Other,Retired,2.51,cloudy,Saturday,afternoon,13,69,TRUE,TRUE,Commute,4,FALSE,7,Fair,Neutral
hill,49,Other,Professional,1.03,cloudy,Tuesday,afternoon,17.7,77,FALSE,FALSE,Commute,5,FALSE,10,Fair,Neutral
normal,55,Female,Unemployed,0.84,sunny,Thursday,afternoon,25.3,51,TRUE,FALSE,Errands,4,TRUE,6,Poor,Positive
normal,29,Female,Unemployed,1.88,sunny,Saturday,night,23.1,66,FALSE,TRUE,Leisure,5,FALSE,10,Good,Neutral
bmx,47,Other,Professional,1.9,sunny,Tuesday,evening,24.2,35,TRUE,TRUE,Errands,2,FALSE,5,Fair,Positive
bmx,33,Other,Unemployed,2.87,rainy,Monday,afternoon,31.7,90,TRUE,FALSE,Exercise,2,FALSE,9,Fair,Positive
bmx,36,Female,Retired,2.14,rainy,Tuesday,evening,28.6,54,TRUE,FALSE,Leisure,5,TRUE,10,Good,Neutral
normal,38,Female,Retired,4.68,rainy,Monday,evening,22.5,90,FALSE,FALSE,Exercise,4,TRUE,9,Good,Positive
bmx,62,Male,Student,3.97,cloudy,Saturday,evening,34,67,FALSE,TRUE,Exercise,2,FALSE,8,Good,Positive
hill,57,Other,Student,1.56,rainy,Thursday,morning,20.2,38,TRUE,TRUE,Errands,2,TRUE,4,Fair,Negative
hill,47,Male,Student,3.21,cloudy,Friday,morning,21.5,68,TRUE,FALSE,Commute,3,FALSE,9,Poor,Neutral
hill,66,Female,Retired,2.68,cloudy,Wednesday,morning,21.4,58,FALSE,TRUE,Exercise,1,FALSE,7,Poor,Neutral
normal,26,Other,Retired,3.41,cloudy,Monday,morning,13.1,34,TRUE,TRUE,Errands,2,TRUE,7,Fair,Positive
normal,61,Male,Student,4.24,sunny,Friday,evening,29.6,40,TRUE,FALSE,Leisure,1,FALSE,10,Fair,Positive
hill,43,Female,Professional,2.92,rainy,Saturday,morning,20.4,70,FALSE,FALSE,Leisure,3,FALSE,5,Good,Negative
normal,45,Male,Professional,2.57,cloudy,Saturday,evening,33.4,41,TRUE,FALSE,Commute,4,TRUE,7,Poor,Neutral
normal,27,Male,Student,4,sunny,Sunday,morning,23.6,69,FALSE,FALSE,Commute,5,TRUE,9,Fair,Neutral
normal,19,Male,Unemployed,2.57,cloudy,Sunday,morning,19.7,64,FALSE,FALSE,Exercise,1,FALSE,9,Good,Positive
hill,45,Female,Retired,2.95,sunny,Sunday,morning,18.3,48,FALSE,FALSE,Errands,1,TRUE,10,Fair,Negative
hill,54,Female,Student,3.91,sunny,Sunday,morning,27.3,83,FALSE,FALSE,Errands,1,FALSE,6,Fair,Negative
bmx,19,Male,Unemployed,2.66,sunny,Wednesday,night,32.1,37,FALSE,FALSE,Leisure,1,TRUE,6,Poor,Negative
hill,49,Male,Professional,1.71,cloudy,Thursday,night,34.1,85,TRUE,FALSE,Errands,1,TRUE,10,Good,Negative
hill,28,Female,Professional,3.21,sunny,Thursday,afternoon,34.8,86,FALSE,TRUE,Commute,3,FALSE,6,Good,Negative
normal,38,Female,Professional,0.19,rainy,Friday,night,21.5,66,FALSE,FALSE,Leisure,3,TRUE,10,Fair,Positive
hill,39,Male,Professional,1.17,cloudy,Tuesday,night,15.9,85,FALSE,TRUE,Errands,1,TRUE,4,Poor,Neutral
normal,55,Male,Student,2.67,sunny,Thursday,morning,10.4,79,FALSE,TRUE,Leisure,4,TRUE,1,Poor,Neutral
normal,43,Male,Professional,0.69,cloudy,Monday,night,34.6,83,TRUE,FALSE,Errands,3,TRUE,8,Poor,Negative
